News,Rating
"Donald Trump stated on February 28, 2021 in an interview: Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",false
"Facebook posts stated on February 26, 2021 in Facebook posts: Says Rachel Levine supports “government-funded sex reassignment surgery without parental notification or authorization” for all children.",false
"Viral image stated on March 1, 2021 in a Facebook post: Says a photo at CPAC shows evangelical leaders praying over a golden statue of former President Donald Trump.",false
"Viral image stated on March 1, 2021 in an Instagram post: “Instagram has been limiting our posts so that no more than 7% of our friends see our posts.”",false
"Donald Trump stated on February 28, 2021 in a speech at CPAC: HR 1 “automatically registers every welfare recipient to vote.”",mostly-false
"Facebook posts stated on February 22, 2021 in a Facebook post: Says Al Gore said in 2009 that “the North Pole will be ice-free in the summer by 2013 because of man-made global warming.”",mostly-true
"Rick Scott stated on March 1, 2021 in an interview with CBS News: The $1.9 trillion relief package is “about a bridge for Chuck Schumer, a tunnel for Nancy Pelosi.”",mostly-false
"Pete Snyder stated on February 22, 2021 in a radio interview: “All of the science and data say it’s perfectly safe to have teachers and students in the classroom.”",false
"Facebook posts stated on February 22, 2021 in a post: Says Nancy Pelosi bought $1.5 million “in foreign oil stock day before shut down of American line.”",false
"Scott Fitzgerald stated on February 27, 2021 in a press release: “More than 91% of the spending in this $1.9 trillion package is not used for pandemic relief.”",mostly-false
"Facebook posts stated on February 26, 2021 in a viral image: “America has 133 million registered voters,” but “159 million votes” were cast in the 2020 presidential election.",false
"Facebook posts stated on March 25, 2021 in a Facebook post: Says Kaleb Torres, a young spokesperson for Shriners Hospitals for Children, has died.",false
"Donald Trump stated on February 28, 2021 in a CPAC speech: Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",false
"Facebook posts stated on February 26, 2021 in a Facebook post: Identification is required “to get into Washington DC.”",false
"Ronna McDaniel stated on February 22, 2021 in a tweet: Says the American Civil Liberties Union opposes H.R. 1 on grounds that “it threatens our freedom of speech.”",half-true
"Ron Johnson stated on February 12, 2021 in Twitter: “Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",mostly-false
"Facebook posts stated on February 25, 2021 in a Facebook post: Says the Atlanta mayor is “shutting the city down for” the NBA All-Star Game weekend.",false
"Ted Budd stated on February 24, 2021 in a speech: “There’s about 9% of (the American Rescue Plan) actually going to COVID, meaning 91% of it is not even COVID-related.”",half-true
"Tom Cotton stated on February 22, 2021 in a digital ad opposing Xavier Becerra's nomination to be HHS secretary: “Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",true
"Tom Cotton stated on February 26, 2021 in a CPAC speech: The Biden administration “halted deportations for all illegal aliens — murderers, rapists, terrorists, MS-13 gang members are not being deported.""",false
"Stand for America stated on February 24, 2021 in a Facebook post: The COVID-19 rescue bill includes money for a list of projects that are not COVID-related.",mostly-true
"Bill Cassidy stated on February 7, 2021 in remarks on NBC's ""Meet the Press"": “New York, for all of their complaining, Gov. Cuomo's complaining, has only had a 1.5% decrease in revenue” due to the coronavirus pandemic.",mostly-false
"Simone Gold stated on February 6, 2021 in a viral video: “If you take the vaccine, you'll be enrolled in a pharmacovigilance tracking system. It means that you've enrolled yourself in a medical trial.”",false
"Facebook posts stated on February 26, 2021 in an image: Says Jerry Nadler said “God has no authority in the House of Representatives”",false
"J. Bart Classen stated on January 18, 2021 in a research article: The COVID-19 vaccine could lead to prion diseases, Alzheimer’s, ALS and other neurodegenerative diseases.",pants-fire
"Instagram posts stated on February 11, 2021 in an Instagram post: Due to differing lockdown orders, New York has more COVID-19 cases, deaths, hospitalizations and job losses than Florida, and New York also lags on vaccinations.",mostly-false
"Xavier Becerra stated on February 24, 2021 in statements at a confirmation hearing: “I have never sued a nun — any nuns.”",half-true
"Dan Crenshaw stated on February 16, 2021 in a tweet: “Subsidizing investment in wind has pushed gas and nuclear out. Now we live with the consequences.”",false
"Facebook posts stated on February 25, 2021 in a Facebook post: Says Joe Biden said a racial slur.",false
"Mitch McConnell stated on February 24, 2021 in a Senate floor speech: In the American Rescue Plan, “just about 1% of the money is for vaccines.”",mostly-true
"Ron Johnson stated on January 21, 2021 in Facebook post: 
The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”",mostly-true
"Facebook posts stated on February 12, 2021 in a Facebook post: Insulin prices rose “with the swipe of (Joe Biden’s) pen.”",false
"Act for America stated on February 23, 2021 in an online post: HR 1 will allow members of Congress to draw a second salary “worth an estimated $600,000 per year!”",false
"Facebook posts stated on February 16, 2021 in a Facebook post: Says a video captures sound from the surface of Mars",false
"Glenn Beck stated on February 23, 2021 in a tweet: “Just for the record, the Biden Administration IS separating children and parents.”",false
"Tom Wolf stated on February 22, 2021 in a speech: “We’re the only major gas-producing state in the US that doesn’t have a severance tax.”",true
"Facebook posts stated on February 22, 2021 in a Facebook post: Says President Joe Biden canceled Trump’s “child sex ring operation, which saw thousands of arrests last year.”",false
"JB Pritzker stated on February 17, 2021 in a speech: “For the month of February, Illinois has been the vaccination leader among the 10 most populous states in the country.”",half-true
"Facebook posts stated on February 13, 2021 in a Facebook post: Only Nancy Pelosi is “responsible for what happened at the Capitol” on Jan. 6, “security at the Capitol is her job.”",mostly-false
"YouTube videos stated on January 25, 2021 in YouTube videos: Nancy Pelosi explains how Democrats demonize political opponents through the “wrap-up smear.”",pants-fire
"Facebook posts stated on February 23, 2021 in a Facebook post: Says Coca-Cola CEO James Quincey said, “A few right winged nuts won’t affect our bottom line.”",false
"Viral image stated on February 24, 2021 in a Facebook post: Says Joe Biden tweeted, “the way white people talk leaving minorities confused.”",pants-fire
"Lara Logan stated on February 19, 2021 in a TV segment: ""The reality"" in Texas is that ""you’re flying helicopters, using fossil fuels, to put oil on wind turbines to defrost them.”",false
"Viral image stated on February 21, 2021 in a Facebook post: Photo shows “Earth, Venus and Jupiter as seen from Mars.”",false
"Facebook posts stated on February 19, 2021 in a Facebook post: “Oil is now $61.30 a barrel and rising drastically! On Jan. 5, it was about $25 a barrel.”",false
"Facebook posts stated on February 21, 2021 in a post: Facebook users can avoid “problems with your Facebook going against community standards” by changing your settings.",pants-fire
"Viral image stated on February 21, 2021 in a Facebook post: “Nancy Pelosi has invited all illegals to her mansion at 2724 Pacific Ave San Francisco CA.”",false
"Tucker Carlson stated on February 22, 2021 in a TV segment: ""There's no evidence that white supremacists were responsible for what happened on Jan. 6. That's a lie.”",false
"Students for Trump stated on February 16, 2021 in a Tweet: “Joe Biden is handing our power grid to the Chinese Communist Party.”",false
"Sarah Godlewski stated on February 6, 2021 in a tweet: “On average, 17% of a family’s income goes towards child care in Wisconsin.”",half-true
"Viral image stated on February 17, 2021 in a Facebook post: “Monticello power plant just outside of Pittsburg TX has been closed since 2018 because of renewable energy.”",mostly-false
"Facebook posts stated on February 21, 2021 in a Facebook post: “Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.”",mostly-false
"Ron DeSantis stated on February 2, 2021 in a press conference: The result of lockdowns “has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.”",mostly-false
"Viral image stated on February 19, 2021 in on social media: “COVID-19 infections down 61% from Trump’s last day. COVID-19 vaccinations up 85% from Trump’s last day. Competence Matters.”",mostly-true
"Facebook posts stated on February 17, 2021 in a Facebook post: “Utah OFFICIALLY starts RECALL for Mitt Romney.”
",false
"Steve Scalise stated on February 21, 2021 in an interview on ABC News' This Week: “There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.”",half-true
"Viral image stated on February 21, 2021 in a Facebook post: Jill Biden was a teenage babysitter for Joe Biden’s family.",false
"Infowars stated on February 20, 2021 in an article: “Joe Biden’s Dept. of Energy Blocked Texas from Increasing Power Ahead of Killer Storm”",pants-fire
"Cory Booker stated on February 9, 2021 in a statement: “There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",true
"Joe Biden stated on February 19, 2021 in a speech: “The vast majority of the American people” support Biden’s $1.9 trillion rescue plan, “including a majority of Republicans.”",half-true
"Buck Sexton stated on February 8, 2021 in a blog item posted on Facebook: The science says “open the schools, stop wearing masks outside, and everyone at low risk should start living normal lives.""",false
"Facebook posts stated on February 18, 2021 in a Facebook post: Says Joe Biden didn’t act in response to the emergency in Texas.",false
"Viral image stated on February 18, 2021 in a Facebook post: A Texas energy company billed a customer more than $200,000.",half-true
"Facebook posts stated on February 15, 2021 in a post on Facebook: “If you make $50,000/year, $36 of your taxes goes to food stamps. $4,000 goes to corporate subsidies.”",false
"Beto O'Rourke stated on February 16, 2021 in a tweet: “Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",true
"Facebook posts stated on February 13, 2021 in a text post: Donald Trump's second impeachment ""cost $33 million.""",false
"Viral image stated on February 19, 2021 in a Facebook post: Says Ted Cruz tweeted, “I’ll believe in climate change when Texas freezes over.”",false
"Facebook posts stated on February 17, 2021 in Facebook posts: The snow is government-generated or fake.",pants-fire
"Facebook posts stated on February 17, 2021 in a Facebook post: Photo shows an ice mass hanging inside a Houston home during Texas winter storms.",false
"Greg Abbott stated on February 16, 2021 in an interview: ""Our wind and our solar got shut down ... and that thrust Texas into this situation where it was lacking power at a statewide basis.”",false
"Facebook posts stated on February 17, 2021 in a Facebook post: “FEMA is paying for hotel rooms!!!” for Texas winter storm victims.",false
"Scott Manley stated on January 31, 2021 in TV interview: “Nobody’s health is at risk right now” from PFAS contamination, as long as they are receiving bottled drinking water",false
"Facebook posts stated on February 15, 2021 in a Facebook post: Says Joe Biden “helps build Afghanistan’s pipeline.”",false
"Facebook posts stated on February 16, 2021 in a Facebook post: ""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",true
"Joe Biden stated on February 16, 2021 in remarks at a CNN town hall:
 ""If we kept (the minimum wage) indexed to inflation, people would be making $20 an hour right now.”",false
"Ted Cruz stated on January 9, 2021 in a tweet: Said Rep. Alexandria Ocasio-Cortez and her allies “blocked a resolution condemning anti-Semitism — which I passed unanimously in the Senate.”",mostly-false
"Joe Biden stated on February 16, 2021 in a CNN town hall in Milwaukee.: “There is a consensus among economists left, right, and center… that we can’t spend too much” on COVID-19 relief.",mostly-false
"Facebook posts stated on February 12, 2021 in a Facebook post: “The United States was energy independent in 2019 for the first time since 1957. In just 10 days we are sent back 50 years.”",mostly-false
"Facebook posts stated on February 9, 2021 in a Facebook post: Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”",mostly-false
"Billboard stated on February 13, 2021 in a billboard: “Gov Roy Cooper does not consider Type 1 diabetes an under lying health issue!”",false
"TikTok posts stated on January 30, 2021 in a sound: ""Schools are trying to make a law that teachers can see girls' private parts to make sure they're not trans.""",mostly-false
"Tucker Carlson stated on February 16, 2021 in a TV segment: “Unbeknownst to most people, the Green New Deal came to Texas; the power grid in the state became totally reliant on windmills.”",pants-fire
"Ashley Hinson stated on January 23, 2021 in a tweet: President Joe Biden’s day one approach to immigration included ""blanket amnesty and halting border wall construction.""",half-true
"Joe Biden stated on February 16, 2021 in a CNN town hall: “For the first time in American history, if you're seeking asylum ... you can't do it from the United States. … You’ve got to seek asylum from abroad.”",mostly-false
"Mike Shirkey stated on February 16, 2021 in a radio interview: “Too many dead people voted” in Michigan",false
"Facebook posts stated on February 1, 2021 in a Facebook post: “Biden signs 45% capital gains tax. Kiss your inheritance goodbye.”",false
"Facebook posts stated on February 9, 2021 in a Facebook post: Says death reports in federal database show the fatal risk of COVID-19 vaccines.",mostly-false
"Kevin Sorbo stated on February 15, 2021 in a tweet: “So California is requiring signature verification for Gavin Newsom’s recall, but didn’t require it for the mail in ballots.”
",pants-fire
"Facebook posts stated on February 15, 2021 in a text post: Says Joe Biden planned a winter storm as ""warfare, an attack on Texas by altering the jet stream.""",pants-fire
"Viral image stated on February 11, 2021 in a Facebook post: “NASA admits that man-made climate change is a hoax!”",false
"Mark Pocan stated on February 12, 2021 in a tweet: Ron Johnson didn’t “show up” for a day of impeachment hearings.",pants-fire
"Viral image stated on February 8, 2021 in a Facebook post: Photo shows the “USS Al Gore Global Warming Research Vessel” covered in ice.",false
"Ron Johnson stated on February 15, 2021 in a radio interview: Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”",pants-fire
"Facebook posts stated on February 11, 2021 in a Facebook post: 
Says Nabisco is closing plants in Georgia and New Jersey and “moving to Mexico” because of Biden’s election.",false
"Facebook posts stated on January 28, 2021 in a Facebook post: Says Joe Biden’s order stopping the Keystone pipeline “made oil more expensive for us to use.”",mostly-false
"Laura Ingraham stated on February 8, 2021 in a TV segment: “You may not have stayed in a hotel in the past year, but illegals arriving since Biden’s inauguration, they get to stay free of charge.”",mostly-false
"Alma Adams stated on February 9, 2021 in a tweet: “Almost 40% of borrowers with student loan debt didn't finish their degree.”",mostly-true
"Michael van der Veen stated on February 12, 2021 in a speech at the U.S. Senate: After the Capitol insurrection, “one of the first people arrested was a leader of antifa.""",mostly-false
"Ron DeSantis stated on February 11, 2021 in a fundraising email: Says Joe Biden “is trying to shut FL’s border.”",false
"Greg Abbott stated on January 24, 2021 in a tweet: “Innocent lives will be saved” by ending taxpayer funding of Planned Parenthood.",false
"Dan O'Donnell stated on February 3, 2021 in in a commentary: November election data shows a “stunning anomaly in the rejection rate of absentee ballots.”",false
"Illinois Republican Party stated on February 5, 2021 in social media posts: “Pritzker’s Hierarchy of Vaccine Priorities” puts prisoners, politicians and college students ahead of “individuals with high-risk health factors, and everyone else.”",half-true
"Gordon Hintz stated on February 5, 2021 in TV interview: “We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",true
"Kristi Noem stated on February 2, 2021 in an interview on the “The Ingraham Angle”: South Dakota ""did have tragedies and we did have losses. But we also got through (the pandemic) better than virtually every other state.""",mostly-false
"Mark Walker stated on January 22, 2021 in a tweet: “President Biden is raising the prices of insulin and Epi-Pens on those with high costs and the uninsured.”",mostly-false
"Bloggers stated on February 9, 2021 in an article: “Manipulated Video used in House Impeachment Looks to Have VIOLATED House Rules”",false
"Bloggers stated on February 6, 2021 in a video on Facebook: Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",pants-fire
"Mark Born stated on January 12, 2021 in Twitter: ""The committee that advises @GovEvers and his department tasked with leading during this pandemic is recommending allowing prisoners to receive the vaccine before 65 year old grandma?”",half-true
"Kevin McCarthy stated on February 9, 2021 in a press release: Raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”",false
"Andrew Cuomo stated on January 14, 2021 in a tweet: “No state gets back less from Washington than New York state.”",mostly-true
"Facebook posts stated on February 4, 2018 in a Facebook post: ""The Clinton Foundation folded.”",pants-fire
"Viral image stated on February 10, 2021 in a Facebook post: Says Gorilla Glue tweeted, “Do not use our products on your f------ hair.”",false
"Facebook posts stated on February 2, 2021 in a Facebook post: ""The Biden family is so heavily invested in oil and energy in other countries.""",mostly-false
"Facebook posts stated on February 7, 2021 in an image: “Not one court has looked at the evidence and said that Biden legally won” the presidential election.",pants-fire
"Joe Biden stated on February 5, 2021 in an interview on CBS: “If you're making less than $15 an hour, you're living below the poverty wage.”",half-true
"Viral image stated on February 9, 2021 in a Facebook post: Photo shows Tampa Mayor Jane Castor maskless at Super Bowl.",false
"Facebook posts stated on February 7, 2021 in a Facebook post: Says Cracker Barrel’s name has racist origins and its logo depicts a whip.",false
"Bloggers stated on February 7, 2021 in an Epoch Times headline: ""Trump Won Two-Thirds of Election Lawsuits Where Merits Considered""",false
"Greg Kelly stated on February 8, 2021 in a Newsmax TV segment: “Only one person died on that day” during the Jan. 6 U.S. Capitol riot.",false
"Lee Merritt stated on January 16, 2021 in a video shared on Facebook: The COVID-19 vaccine “went out for distribution” in Nebraska “days before the FDA even said they were going to approve it.”",false
"Facebook posts stated on February 6, 2021 in Facebook posts: “Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president.",pants-fire
"Andrew Cuomo stated on January 29, 2021 in a news conference: “But we’re below the national average in number of deaths in nursing homes.”",mostly-true
"Viral image stated on February 5, 2021 in a Facebook post: Photo shows Joe Biden asleep at his desk.",false
"Richard Durbin stated on February 4, 2021 in a Senate speech: 
“More than 200,000 DACA recipients are essential infrastructure workers” including “41,700 DACA recipients in the healthcare industry”",mostly-true
"Facebook posts stated on February 8, 2021 in a Facebook post: Says Joe Biden said, “Buy a man eat fish, he day, teach fish man, to a lifetime.""",pants-fire
"Viral image stated on February 8, 2021 in a Facebook post: Michelle Obama earned a doctorate after leaving the White House.",false
"Facebook posts stated on February 3, 2021 in a Facebook post: “Pfizer and Moderna could share their design with dozens of other pharma companies who stand ready to produce their vaccines and end the pandemic.”",mostly-false
"Facebook posts stated on February 7, 2021 in a Facebook post: ""Satan flashed in the halftime Super Bowl satanic ritual.""",false
"WorldNetDaily stated on February 1, 2021 in an article: “New evidence ties COVID-19 creation to research funded by Fauci""",false
"Facebook posts stated on February 8, 2021 in a Facebook post: “Shell Oil laying off 9,000 workers” because of Joe Biden.",false
"Bloggers stated on February 7, 2021 in a blog post: “Military rescues tortured children from tunnel beneath Capitol Hill.”",pants-fire
"Steve Scalise  stated on February 2, 2021 in an interview on Fox News: “Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.”",mostly-false
"Facebook posts stated on December 31, 2020 in a Facebook post: “Doctor proves masks don’t work” by vaping through them.",false
"Bloggers stated on February 1, 2021 in a blog post: ""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false
" Roy Cooper stated on February 2, 2021 in a press conference: Says North Carolina bill to require in-person learning is “stripping out some of the health protocols that are in place.”",half-true
"The Gateway Pundit stated on February 5, 2021 in an article: “Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.”",false
"Facebook posts stated on February 2, 2021 in a Facebook post: Seniors around the world who died from COVID vaccine are being improperly listed as “natural causes.”",false
"DCCC stated on February 2, 2021 in an attack ad: Says Rep. Brian Fitzpatrick, R-Pa., “stood with Trump and the lies… He stood with QAnon, not you.”",mostly-false
"Rick Scott stated on February 1, 2021 in a press release: States are seeing increases in revenue, with an average decline of just 0.12% compared with 2019. Over half of states report positive growth, including California, New York, and Illinois.",mostly-false
"Facebook posts stated on January 31, 2021 in a Facebook post: “A Miracle! Only 23 Americans Tested Positive for Flu Last Week Compared to 14,657 Cases Reported Last Year at Same Time.”",half-true
"John Kerry stated on January 31, 2021 in in an interview: Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”",false
"Facebook posts stated on February 1, 2021 in on social media: Under the 2017 tax law, “people who make under $75,000 will have their taxes raised in 2021 and every 2 years after that until 2027.”",mostly-false
"Stefan Mychajliw stated on January 29, 2021 in a press release: ""The (Erie Co., N.Y.) health commissioner makes more than the governor, the vice president of the United States, and has a salary that is comparable to Dr. Anthony Fauci.”",mostly-true
"Elaine Luria stated on January 31, 2021 in a campaign finance report.: On accepting corporate PAC donations",full-flop
"Christina Blackcloud stated on January 23, 2021 in a tweet: The school voucher bill the Iowa Legislature is considering would ""give your education tax dollars to corporations.""",mostly-true
"Bloggers stated on January 30, 2021 in a blog post: “Trump assassination foiled, Deep State in panic mode!”",false
"Facebook posts stated on February 4, 2021 in an image: Photo shows Democratic protesters who “stormed the U.S. Capitol in 2018.”",false
"Bloggers stated on January 31, 2021 in a blog post: Says Denzel Washington said, “I support police over BLM, don’t put them down!”",mostly-false
"Kevin McCarthy stated on February 3, 2021 in a press conference: “I don’t even know what (QAnon) is.”",false
"Instagram posts stated on February 2, 2021 in an Instagram post: Says Joe Biden “has officially lowered the age of consent to 5 years old.”",pants-fire
"Facebook posts stated on February 2, 2021 in an image: Joe Biden ""really did wipe away"" student loan debt.",false
"Jim Steineke stated on January 17, 2021 in a TV interview: Gov. Tony Evers “has the authority and revenue necessary” to upgrade the Wisconsin unemployment system without the Legislature.",mostly-false
"Viral image stated on January 30, 2021 in a Facebook post: The White House was dark for 10 nights in a row.",false
"YouTube videos stated on February 2, 2021 in a YouTube post: “US Capitol raided 2/2/21.”",false
"Tom Cotton stated on February 1, 2021 in a Fox & Friends interview: ""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",false
"Facebook posts stated on January 25, 2021 in a post: Says Joe Biden has “allowed males to compete in girls’ sports.”",false
"Viral image stated on January 29, 2021 in a Facebook post: Photo shows Rachel Levine’s family.",pants-fire
"Facebook posts stated on February 1, 2021 in a Facebook post: “Myanmar used Dominion Voting Systems.”",false
"Donald Trump Jr. stated on January 22, 2021 in a tweet: “Donald Trump is the first president in modern history (who) did not start a new war.”",mostly-false
"Bloggers stated on January 28, 2021 in a blog: Facebook tried to “shut down” the campaign to recall California Gov. Gavin Newsom.",false
"Facebook posts stated on January 31, 2021 in a Facebook post: Says Nancy Pelosi bought $1.25 million in Tesla stock the day before Joe Biden signed an order “for all federal vehicles” to be electric.",mostly-false
"Viral image stated on January 25, 2021 in a Facebook post: H&M advertised a sweatshirt that said, “Koolest Kid in the Klan.”",false
"Chuck Grassley stated on January 14, 2021 in a tweet: Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",true
"Tony Evers stated on January 12, 2021 in Speech: ""The Legislature spent the last decade passing laws deliberately making it even harder for people to access these critical supports when they need it most, exacerbating the problems with our already-outdated system.”",half-true
"Jenna Wadsworth stated on January 26, 2021 in a tweet: North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",true
"Ryan Fournier stated on January 31, 2021 in a Tweet: “The Biden administration lost 20 million COVID vaccines.”",false
"Facebook posts stated on October 10, 2019 in a Facebook post: Congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",mostly-false
"Facebook posts stated on December 15, 2020 in a Facebook post: An “audit report” found that a voting system used in Michigan in the 2020 presidential election was designed to “create systemic fraud.”",false
"Bloggers stated on January 25, 2021 in a blog post: “WHO now saying you do not need to wear a mask.”",false
"Instagram posts stated on January 26, 2021 in an Instagram post: Masks have negative impacts on 68% of children.",false
"Facebook posts stated on January 23, 2021 in a Facebook post: Says Joe Biden’s inauguration was fake and he is not the legitimate president.",pants-fire
"Facebook posts stated on January 25, 2021 in a Facebook post: Says Joe Biden said, “I don’t know what I’m signing,” while signing a document.",false
"Facebook posts stated on January 28, 2021 in a Facebook post: “U.S. military at the White House arresting Congress.”",pants-fire
"Marco Rubio stated on January 27, 2021 in remarks: ""Only in the Third World do you see this habitual use of prosecutions of former leaders.”",false
"Kevin Brady stated on January 22, 2021 in a tweet: Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",half-true
"Joe Biden stated on January 27, 2021 in remarks when signing climate change executive orders: “84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”",mostly-true
"Facebook posts stated on January 27, 2021 in a Facebook post: Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.",false
"Facebook posts stated on January 26, 2021 in a viral video: ""In March 2020 the United States deployed 30,000 troops to Europe to ... free child-trafficked children and arrest deep state cabal members.""",false
"Facebook posts stated on January 25, 2021 in an image: Says Joe Biden is “following through with a fracking ban.”",mostly-false
"Facebook posts stated on January 24, 2021 in a Facebook post: Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”",mostly-false
"Facebook posts stated on January 23, 2021 in on social media: “Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”",false
"Scott Walker stated on January 26, 2021 in a Facebook post: “The U.S. Senate cannot convict a former President.”",mostly-false
"Facebook posts stated on January 23, 2021 in a Facebook post: Says Facebook recently logged users out to track their “off Facebook activity” involving bank accounts, emails and other apps.",false
"Charlie Kirk stated on January 26, 2021 in an Instagram post: ""Joe Biden admits he is governing like a 'dictator.'""",false
"Jennifer Boysko stated on January 18, 2021 in a committee debate.: “The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",true
"Jim Steineke stated on January 26, 2021 in a tweet: Assembly Republicans “have come to the table” and were part of “give and take” compromise on a coronavirus bill.",false
"Instagram posts stated on January 25, 2021 in a video: Says Bill Gates said “at least 3 billion people need to die” from the planet.",false
"Marco Rubio stated on January 22, 2021 in a tweet: Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",true
"Facebook posts stated on January 25, 2021 in a Facebook post: Says Biden's Rolex belonged to his late son Beau.",false
"Ron Klain stated on January 24, 2021 in an interview on Meet the Press: ""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House.""",mostly-false
"Mandy Cohen stated on January 21, 2021 in a press conference: Says the number of spoiled coronavirus vaccines in North Carolina is “very small ... in the tens.”",half-true
