"Noticia","Tipo","Pagina"
"El médico intensivista Ricardo Arteaga Mora, de 51 años, falleció a las 01:00 de este jueves 10 de septiembre del 2020. Durante 36 días permaneció en la Unidad de Cuidados Intensivos (UCI) del Hospital Carlos Andrade Marín, del IESS. Sus compañeros, enfermeros, auxiliares y especialistas, esta tarde se despidieron de él. En medio del breve homenaje sonó la canción 'Cuando un amigo se va', de Alberto Cortez.",0,"El Comercio"
"Los asambleístas de distintas fuerzas políticas en la Asamblea piden al Ejecutivo que entregue detalles sobre el proceso de renegociación de la deuda externa.",0,"El Comercio"
"La Asociación de Fútbol Argentino (AFA) confirmó este jueves 10 de septiembre que el futbolista Lionel Messi sí podrá jugar en el arranque de las eliminatorias sudamericanas al Mundial de Catar 2022. Así se informó a través de las redes sociales de la AFA.",0,"El Comercio"
"Para la vicepresidenta, María Alejandra Muñoz, no es posible hablar de lucha contra la corrupción si no se atienden las necesidades de quienes están invisibilizados. Así lo afirmó en un encuentro en el que también participó la segunda mandataria de Colombia, Martha Lucía Ramírez.",0,"El Comercio"
"Con la culminación del estado de excepción, el próximo 12 de septiembre del 2020, dejarán de tener vigencia algunas medidas generales como el toque de queda y la prohibición de realizar reuniones.",0,"El Comercio"
"Hasta julio del 2020, 14 de los 27 sectores de exportación vendieron menos, frente al mismo período del 2019.",0,"El Comercio"
"Luego de tres meses de trámites, Ecuador será parte de los ensayos clínicos de una de las vacunas contra la nueva cepa de coronavirus. Esto se concretó debido a que el país participa en el proyecto ‘Solidarity vacunas’, encabezado por la Organización Mundial de la Salud (OMS), con sede en Suiza. Lo afirmó este jueves 10 de septiembre del 2020 Enrique Terán, docente investigador de la Universidad San Francisco de Quito (USFQ).",0,"El Comercio"
"El informe para el primer debate del proyecto de reformas constitucionales que apunta a eliminar el Consejo de Participación, transformar a la Asamblea en bicameral y dar independencia a la Fiscalía, quedó listo este jueves 10 de septiembre del 2020.",0,"El Comercio"
"El Gobierno entregó kits de alimentación escolar en la Escuela Diario El Comercio, en el norte de Quito. El acto se realizó la mañana de este jueves 10 de septiembre del 2020 y contó con la presencia del presidente Lenín Moreno.",0,"El Comercio"
"La fórmula se repite. Partidos políticos y movimientos nacionales incluyeron a ‘talentos de pantalla’, futbolistas, reinas de belleza, periodistas y artistas para completar sus listas de precandidatos para las elecciones generales del 2021, cuando Ecuador elegirá Presidente, Vicepresidente y legisladores de la Asamblea Nacional.",0,"El Comercio"
"El ministro de Telecomunicaciones, Andrés Michelena, y la gerenta general de CNT, Martha Moncayo, anunciaron este jueves 10 de septiembre de 2020, la apertura de 2 000 puntos Wifi y la implementación del plan de chip educativo prepago por USD 5, 59 para más de cuatro millones de estudiantes, en el marco del eje Ecuador Conectado.",0,"El Comercio"
"El informe del Gobierno sobre la situación del covid-19 en Ecuador de este 10 de septiembre del 2020 da cuenta de un incremento de 1 040 casos en las últimas 24 horas con lo que el total de contagios asciende a 113 206.",0,"El Comercio"
"Un total de 10 planteles particulares del país recibieron, hasta el 9 de septiembre del 2020, la autorización del Ministerio de Educación, a través de sus coordinaciones zonales, para impartir educación abierta (virtual o en línea) y en casa (‘homeschooling’).",0,"El Comercio"
"El Gobierno de Ecuador dijo este miércoles 9 de septiembre del 2020 que enfrenta problemas para el procesamiento de muestras de coronavirus por la falta de reactivos y la capacidad de los laboratorios y reconoció que las pruebas han sido tomadas de manera segmentada entre la población.",0,"El Comercio"
"El escritor, presentador y periodista peruano, Jaime Bayly, tendrá un programa en TC Mi Canal. La televisora lo anunció a través de sus redes sociales. Ahí se informa que dirigirá un programa periodístico.",0,"El Comercio"
"El Comité de Operaciones de Emergencia (COE) de Santo Domingo, esperará las disposiciones que emita el COE nacional para aplicar posibles regulaciones después del 13 de septiembre del 2020.",0,"El Comercio"
"En la segunda semana del ciclo escolar 2020-2021, los estudiantes del régimen Sierra-Amazonía se habitúan a su nueva rutina virtual. Esta incluye recesos cortos y largos, en medio del tiempo que los chicos permanecen en pantalla, desde el martes 1 de septiembre del 2020.",0,"El Comercio"
"Más de 50 personas con síntomas de coronavirus fueron atendidas hoy, miércoles 9 de septiembre del 2020, en la carpa medicalizada de Quitumbe, ubicada en el sur de Quito. Desde las 06:00, los pacientes llegaron a ese punto para tomar un turno y, de ser necesario, acceder a las pruebas de diagnóstico.",0,"El Comercio"
"La Facultad de Ciencias de la Vida y la Dirección de Educación Continua de la Universidad Estatal Amazónica (UEA) organiza el Primer Simposio Internacional sobre: Los desafíos de Latinoamérica en la era Post Covid, turismo, ambiente y biología.",0,"El Comercio"
"Ecuador registró este 9 de septiembre del 2020, 1 409 nuevos casos de covid-19 en las últimas 24 horas y alcanza un total de 112 166 contagios a nivel nacional confirmados con pruebas PCR, según el reporte N° 195 del Comité de Operaciones de Emergencia, con corte a las 08:00.",0,"El Comercio"
"Cada vez son más los hogares y personas en Ecuador que se conectan a Internet para ejecutar sus labores diarias, ya sean por estudio, trabajo o simplemente entretenimiento.",0,"El Comercio"
"Los controles que se cumplen para el ingreso de pasajeros a las terminales aéreas y terrestres del país continuarán aunque finalice el estado de excepción por la emergencia sanitaria, el próximo 12 de septiembre del 2020.",0,"El Comercio"
"Hasta el próximo 15 de septiembre del 2020 se ampliaron las inscripciones para participar en el IX Encuentro Empresarial Andino. Se trata de una rueda de negocios virtual que busca reactivar el comercio regional y contribuir a la recuperación económica y social de Bolivia, Colombia, Ecuador y Perú.",0,"El Comercio"
"Siete días antes de que se termine el estado de excepción en el Ecuador, las cifras acumuladas nacionales de casos de covid-19 descendieron de un día para el otro.",0,"El Comercio"
"En una ceremonia especial en el Palacio de Gobierno, el presidente Lenín Moreno habló este 8 de septiembre del 2020 sobre la renegociación de la deuda del Ecuador y los acuerdos alcanzados con organismos multilaterales.",0,"El Comercio"
"El 8 de septiembre se celebra el nacimiento de la Virgen María. La influencia de este personaje bíblico en el mundo judeocristiano ha provocado que María sea el nombre femenino más popular en Ecuador.",0,"El Comercio"
"La cuenca del río Jubones y el desierto de Palmira son algunas de las zonas que han pasado por procesos de degradación y desertificación de los suelos en el país. Los monocultivos, la deforestación, la ganadería intensiva y el cambio climático están entre los principales causantes de este fenómeno, el cual afecta al 47% de la superficie del Ecuador.",0,"El Comercio"
"Al menos 13 461 personas que se dedicaban al trabajo doméstico perdieron su empleo durante los meses de emergencia sanitaria por la pandemia de coronavirus, de acuerdo con datos de desafiliación del Instituto Ecuatoriano de Seguridad Social (IESS).",0,"El Comercio"
"El Tribunal Contencioso Electoral (TCE) posesionó este lunes, 7 de septiembre de 2020, a cuatro conjueces ocasionales, que reforzarán el trabajo del organismo en caso de presentarse acumulación de causas.",0,"El Comercio"
"Las ventas internas en el sector privado se recuperan paulatinamente en los últimos meses. Después de una fuerte caída en abril -cuando se reportaron USD 5 535 millones-, a partir de mayo la cifra ha ido en aumento y para julio se ubicó en USD 7 546 millones, según datos del Servicio de Rentas Internas (SRI) recopilados por la Cámara de Comercio de Quito (CCQ).",0,"El Comercio"
"El nuevo entrenador de Ecuador, el argentino Gustavo Alfaro, anticipó que siente ""como una obligación"" el desafío de la clasificación al Mundial de Qatar 2022.",0,"El Comercio"
"El Servicio de Rentas Internas (SRI) arrancará el próximo 16 de septiembre del 2020 la recaudación de impuesto al valor agregado (IVA) a los servicios digitales internacionales que se consumen en el país.",0,"El Comercio"
"El Comité de Operaciones de Emergencia (COE) del cantón Esmeraldas resolvió reabrir la playa de Esmeraldas desde el próximo sábado, 12 de septiembre de 2020. Así lo dio a conocer este lunes 7 de septiembre del 2020.",0,"El Comercio"
"Tras el cambio que realizó el Gobierno en la infografía de contagios de coronavirus, Ecuador registra este 7 de septiembre del 2020, 110 092 casos de la enfermedad, con un aumento de 308 respecto al día previo en donde se contabilizaron 109 784. Estas infecciones han sido confirmadas con pruebas PCR.",0,"El Comercio"
"Yolanda cocinó, limpió y organizó el hogar de una familia en Guayaquil, de lunes a viernes, por 23 años. Esta mujer de 56 años, que tiene seis hijos, ganaba el salario básico y tenía un contrato, pero en la emergencia sanitaria perdió su empleo y ahora subsiste con menos de USD 40 a la semana.",0,"El Comercio"
"Desde su creación, el 13 de septiembre del 2012, el Instituto Nacional de Investigación en Salud Pública (Inspi) se formó para desarrollar estudios científicos y tecnología sanitaria. Es también el laboratorio de referencia nacional en donde se vigilan, analizan y diagnostican enfermedades infecciosas, como la influenza.",0,"El Comercio"
"La educación a distancia ha sido una opción de crecimiento profesional para decenas de miles de personas, en Ecuador y en la región, desde la segunda mitad del siglo pasado.",0,"El Comercio"
"Los sensores alertan un posible riesgo de contagio al detectar la cercanía entre bañistas. Mediante el uso de drones, el Servicio Integrado de Seguridad ECU 911 puso en práctica la herramienta Distancia2 en playas de Guayas y Santa Elena, este sábado 5 de septiembre de 2020.",0,"El Comercio"
"Víctor López nació en Barcelona, España, en 1985. Es fundador del grupo Kayros, que ha conducido al equipo asesor electoral de los presidentes Nayib Bukele, en El Salvador, y Leonel Fernández, en República Dominicana. En el 2017 y en el 2018 ganó el Napolitan Victory Awards, para consultores políticos. Tiene un doctorado en Derecho y Ciencias Políticas en la Universidad de Barcelona. En Ecuador, trabajó con Otto Sonnenholzner.",0,"El Comercio"
"En el barrio Santa Rita de Chillanes, provincia de Bolívar, habitan Joan, Ken y Édgar, de 16, 14 y 8 años. En este mes empezaron el segundo y primero de bachillerato y el cuarto de básica, respectivamente. En su hogar no hay computadora.",0,"El Comercio"
"Los automotores podrán circular sin restricciones y los polideportivos se abrirán, con un número limitado de visitantes. Esas son parte de las resoluciones que se aplicarán en Ibarra, provincia de Imbabura, luego del 12 de septiembre del 2020, en que finalice el estado de excepción en Ecuador, que aplicó el Gobierno Nacional ante la pandemia del covid-19.",0,"El Comercio"
"Las patinetas han vuelto a rodar en una de las pistas de Samanes. El parque estuvo cerrado por cerca de cinco meses debido a la pandemia de covid-19. Este sábado se cumplen cinco días de la reapertura de este y otros espacios de recreación en Guayaquil, con la aplicación de medidas de bioseguridad.",0,"El Comercio"
"Las medidas especiales que se aplicaban para Quito y 18 provincias del Ecuador durante los fines de semana concluyeron el 31 de agosto del 2020. Por primera vez desde el inicio del estado de excepción por el covid-19 en Ecuador, este viernes 4 de septiembre del 2020 el toque de queda tendrá un horario reducido en el Distrito Metropolitano: de 23:00 a 05:00.",0,"El Comercio"
"Melissa Chávez se quedó sin trabajo en abril del 2020. Para solventar sus gastos, la joven usó sus dos tarjetas de crédito. Con avances pagó el arriendo, la comida y la matrícula de su hijo de 7 años.",0,"El Comercio"
"Este fin de semana es el primero, desde el inicio de la pandemia del covid-19, que la circulación en Quito estará autorizada durante 18 horas seguidas, desde las 05:01 hasta las 23:00.",0,"El Comercio"
"La FIFA publicó el calendario para el inicio de las eliminatorias sudamericanas camino al Mundial de Catar 2022. La entidad rectora del fútbol anunció que la Selección de Ecuador debutará el 8 de octubre ante Argentina en el estadio La Bombonera. Allí será el debut oficial del entrenador Gustavo Alfaro.",0,"El Comercio"
"Rodeada de pequeñas elevaciones y pastizales está la comuna Colinas de La Merced, en la parroquia cuencana de Turi. Hay ocho casas dispersas donde habita una veintena de niños, 16 de ellos de edad escolar que no están integrados a clases.",0,"El Comercio"
"Mientras el docente de Anatomía enseñaba de forma virtual a sus alumnos sobre las partes del cuerpo humano, un grupo de desconocidos ingresaba a la casa de una de las estudiantes. El hecho ocurrió en Ambato, Tungurahua, este viernes 4 de septiembre del 2020",0,"El Comercio"
"Álex Aguinaga criticó fuertemente a los directivos de la Federación Ecuatoriana de Fútbol (FEF), dirigida por Francisco Egas. Su cuestionamiento fue dirigido a que el ente está manejado más por extranjeros que por compatriotas, excepto los dirigentes.",0,"El Comercio"
"El presidente de la República, Lenín Moreno, lideró el gabinete ampliado que se desarrolló este 4 de septiembre del 2020 en la provincia de El Oro.",0,"El Comercio"
"Contigo amor es el nombre de la canción con la que el ecuatoriano Felipe Moon hace su debut musical en América Latina. El tema se estrena bajo el sello Rebelion, de Universal Music.",0,"El Comercio"
"La construcción del nuevo muelle de Puerto Bolívar, mediante alianza público-privada, se concretó en la provincia de El Oro, este viernes 4 de septiembre del 2020.",0,"El Comercio"
"Los cantones de Montúfar, en Carchi, y Otavalo, en Imbabura, han programado actividades virtuales para sus conmemoraciones locales.",0,"El Comercio"
"Dos personas fallecieron en un accidente de tránsito registrado la noche del 3 de septiembre del 2020 en el ingreso sur de la ciudad de Ibarra, provincia de Imbabura, situada en el norte de Ecuador. Así lo dio a conocer el Cuerpo de Bomberos de cantón.",0,"El Comercio"
"Al menos 10 de los 17 municipios de Napo, Pichincha, Orellana, apoyarán el pedido de acción de protección contra el Estado por las asignaciones pendientes –que en algunos casos- se arrastran desde el 2019.",0,"El Comercio"
"Quito registró 22 381 casos confirmados de covid-19, hasta la mañana de este 4 de septiembre del 2020. Mientras que Ecuador alcanzó los 117 175 contagios, según el informe Nro. 190 emitido por el Ministerio de Salud del Ecuador. Del total de casos confirmados en el país, 108 219 han sido confirmados con pruebas PCR y 8 956 con pruebas rápidas.",0,"El Comercio"
"La Policía Nacional de Perú informó sobre la detención de un ciudadano de nacionalidad ecuatoriana que tenía en su poder USD 1 millón en efectivo.",0,"El Comercio"
"Los casos de coronavirus se incrementan de forma desigual por todo el territorio ecuatoriano a los seis meses de pandemia. Las cifras oficiales muestran, por ejemplo, en Pastaza, 1 707 contagios por cada 100 000 habitantes; mientras en otras zonas más pequeñas como Galápagos, la prevalencia de la enfermedad está en el otro extremo con 330 casos.",0,"El Comercio"
"Estados Unidos asignó USD 7 millones a Ecuador para proyectos relacionados con la lucha contra el narcotráfico y la delincuencia organizada transnacional. Los recursos irán a instituciones del sistema de justicia y seguridad.",0,"El Comercio"
"Las fuerzas políticas que participarán en las elecciones generales del 2021 definen sus estrategias para la contienda. A las 23:59 de este jueves 3 de septiembre del 2020 se cerrará el plazo para registrar alianzas en el Consejo Nacional Electoral (CNE).",0,"El Comercio"
"La Empresa de Medios Públicos informó, a través de su cuenta de Twitter, que se trabaja en una solución jurídica para el pago de la deuda a trabajadores de los medios incautados.",0,"El Comercio"
"En su primer día de operaciones, los buses que partieron de la terminal interprovincial de Quitumbe llegaron a 25 ciudades del país con 58 frecuencias, desde las 06:00 hasta las 00:00 de ayer, 2 de septiembre del 2020.",0,"El Comercio"
"El Ministerio de Agricultura y Ganadería (MAG) informó el miércoles, 2 de septiembre del 2020, que la Unidad Nacional de Almacenamiento (UNA EP) absorberá arroz de los productores del país como una manera de estabilizar la oferta y el precio del saco de la gramínea.",0,"El Comercio"
"Un grupo de médicos y de laboratorio del Hospital Regional Docente Ambato cumplirán la última semana de capacitación en el Instituto Nacional de Investigación para la Salud (Inspi) en la ciudad de Guayaquil. Desde el lunes 7 de septiembre del 2020, los galenos efectuarán los análisis de las pruebas RT- PCR de covid-19 de las provincias de Cotopaxi, Tungurahua y Chimborazo.",0,"El Comercio"
"Hasta la mañana de este 3 de septiembre del 2020, Ecuador suma 116 360 casos confirmados de covid-19, 903 casos más que el pasado miércoles 2 de septiembre cuando se contabilizaban 115 457 casos confirmados. Esta información la entregó el Ministerio de Salud del Ecuador en su informe número 189.",0,"El Comercio"
"La sexta edición de la Feria Internacional del Libro (FIL) de Guayaquil se desarrollará en modalidad 3D a través de la plataforma digital www.libroguayaquil.com. Los visitantes contarán con un avatar y podrán interactuar con los expositores, visitar librerías, editoriales y salones de conferencia o comprar libros, accediendo a la feria desde dispositivos móviles o computadoras.",0,"El Comercio"
"Durante el confinamiento por covid-19, adultos y chicos han realizado más actividades por medio de dispositivos electrónicos, como computadoras y teléfonos. Los primeros están en teletrabajo y, desde el martes 1 de septiembre del 2020, un grupo de niños y adolescentes comenzaron las clases virtuales, en régimen Sierra-Amazonía. Ante esta realidad, especialistas advierten que todos deben cuidar más de su salud, en especial, la auditiva por el uso constante de audífonos o ‘headphones’.",0,"El Comercio"
"En 180 días los afiliados podrán contar con el detalle de los aportes que efectúan al Instituto Ecuatoriano de Seguridad Social (IESS) y el destino que tienen.",0,"El Comercio"
"Desde las 06:00 de este miércoles 2 de septiembre de 2020 volvieron a funcionar las estaciones interprovinciales de Quitumbe y Carcelén, tal como lo dispuso el COE metropolitano siempre y cuando las operadoras de transporte trabajen con el 40% de su flota.",0,"El Comercio"
"En Ecuador se registran 115 457 casos confirmados de covid-19 hasta la mañana de este 2 de septiembre del 2020. 6 619 personas han fallecido por el virus y 3 743 personas han muerto por causas relacionadas con la enfermedad respiratoria, un total de 10 362 muertes.",0,"El Comercio"
"Al comienzo confundieron su canto con el susurro del viento, pero la ciencia se maravilló al descubrir que se trataba del contratenor de las aves: un colibrí con un sonido único que habita en los páramos de Ecuador. Video: AFP",0,"El Comercio"
"Al comienzo confundieron su canto con el susurro del viento, pero la ciencia se maravilló al descubrir que se trataba del contratenor de las aves: un colibrí con un sonido único que habita en los páramos de Ecuador.",0,"El Comercio"
"El Municipio de Guayaquil informó que la ciudad mantendrá el mismo pico y placa del semáforo amarillo durante todo septiembre del 2020, a pesar de que el estado de excepción por la crisis del covid-19 concluirá en Ecuador el 12 de septiembre.",0,"El Comercio"
"Las visitas al manglar y el avistamiento de aves fueron autorizados en el Refugio de Vida Silvestre Manglares Estuario del Río Esmeraldas. Este sitio, cerrado por cinco meses debido a la pandemia, está dentro de la ciudad de Esmeraldas y es el hábitat de muchas especies de aves, peces, reptiles y cuatro variedades de manglar, que pueden observarse mientras se navega por el interior del área de reserva.",0,"El Comercio"
"La Secretaría de Educación Superior, Ciencia, Tecnología e Innovación (Senescyt) anunció este martes 1 de septiembre del 2020 que la aplicación del nuevo Examen de Acceso a la Educación Superior (EAES) se realizará entre el 17 y 18 de septiembre del 2020. Esta será la primera ocasión que esta evaluación, que representa el 60% de la nota de postulación por un cupo universitario, se realizará 100% en línea.",0,"El Comercio"
"Como lo anunciaron en sus redes sociales, más de una decena de planteles educativos públicos de Azuay no iniciaron el nuevo año lectivo, este martes 1 de septiembre del 2020. Los docentes se acogieron al paro virtual en demanda del pago de los sueldos atrasados y por las desvinculaciones de docentes.",0,"El Comercio"
"El director general de Migración Colombia, Juan Francisco Espinosa, anunció que los pasos fluviales, marítimos y terrestres entre Colombia y las naciones vecinas continuarán cerrados durante septiembre del 2020. Este mes las autoridades evaluarán si es recomendable abrir las fronteras a partir del 1 de octubre próximo o en una fecha posterior.",0,"El Comercio"
"Era muy difícil encontrar al ‘entrenador perfecto’ para la Tricolor debido a que los requisitos que se pedían (más por parte de aficionados que de la misma dirigencia) eran prácticamente imposibles de cubrir por una sola persona. Un candidato conocía al jugador ecuatoriano, pero nunca fue campeón. Otro ganó títulos, pero en la vida dirigió una selección. Otro estuvo al frente de un combinado nacional, pero jamás había trabajado en Ecuador.",0,"El Comercio"
"Quito registró 21 739 casos confirmados de covid-19, hasta la mañana de este 1 de septiembre del 2020. Mientras que Ecuador alcanzó los 114 309 contagios, según el informe Nro. 187 emitido por el Ministerio de Salud del Ecuador. Del total de casos confirmados en el país, 105 353 han sido confirmados con pruebas PCR y 8 956 con pruebas rápidas.",0,"El Comercio"
"""Bienvenidos al año lectivo 2020-2021, este inicio de clases es muy especial por los cuidados que todavía debemos tener frente a la pandemia"". Con estas palabras el presidente Lenín Moreno inauguró la mañana de este 1 de septiembre el ciclo escolar Sierra- Amazonía.",0,"El Comercio"
"Los programas de voluntariado enfocados en temas ambientales fueron unos de los más afectados por la llegada de la pandemia del covid-19.",0,"El Comercio"
"El Gobierno canjeó ayer, lunes 31 de agosto del 2020, sus 10 bonos de deuda externa por tres bonos con nuevas condiciones. Con el cambio de papeles, el capital de la deuda, que sumaba USD 17 375 millones, se redujo en USD 1 541 millones.",0,"El Comercio"
